"Title","Link"
"Enhancing thermal conductivity in graphene-loaded paint: Effects of phase change, rheology and filler size","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082005332&doi=10.1016%2fj.ijthermalsci.2020.106381&partnerID=40&md5=8b39911d1eddc726954aab79d297726e"
"Molybdenum diselenide coatings as universal dry lubricants for terrestrial and aerospace applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085729349&doi=10.1016%2fj.matlet.2020.128035&partnerID=40&md5=23ac53ffe2494dca784790a88463558c"
"Identification of oxidation process of TiALN coatings versus heat resistant aerospace alloys based on diffusion couples and tool wear tests","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084551047&doi=10.1016%2fj.cirp.2020.04.024&partnerID=40&md5=d970b378398188a813a38bd222c7d94e"
"The effect of polymeric protective layers and the immersion time on the corrosion behavior of naval steel in natural seawater","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100836954&doi=10.1016%2fj.jmrt.2020.09.059&partnerID=40&md5=a382ce86c948d7aab7d3f282f682ea4b"
"Corrosion monitoring undercoatings and insulation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126413493&doi=10.1016%2fB978-0-08-103003-5.00018-7&partnerID=40&md5=fbc761912085ff41326b3ddb320636e5"
"Modelling of Surface Roughness and Tool Wear Rate During Turning of AISI 202 Stainless Steel","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179863363&doi=10.1007%2f978-3-030-24314-2_88&partnerID=40&md5=2373c39338df57d32c3a120244756036"
"Using an artificial neural network to evaluate the hull condition of naval vessels Bewertung des Rumpfzustands von Wasserfahrzeugen unter Verwendung künstlicher neuronaler Netze","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079159436&doi=10.1515%2fteme-2019-0123&partnerID=40&md5=fa0bc63ae605d0cdbf0843b441338ee5"
"Conductive Nanocarbon-Coated Glass Fibers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091041465&doi=10.1021%2facs.jpcc.0c03948&partnerID=40&md5=ce7e71e000379f62139795d34bac007d"
"Metallic nanocomposite coatings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096962022&doi=10.1016%2fB978-0-12-819359-4.00014-3&partnerID=40&md5=3e57eb349c3a05bca21330ec144e0664"
"Recent developments in smart coatings for steel alloys, their impact in the steel industry, and applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141041220&doi=10.1016%2fB978-0-12-849870-5.00017-3&partnerID=40&md5=b28ea87ac9178e5cd6d5dcb9af899b6d"
"Influence of an anodized layer on the adhesion and surface protective performance of organic coatings on AA2024 aerospace Al alloy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074163930&doi=10.1016%2fj.porgcoat.2019.105396&partnerID=40&md5=fe9337d06a810e47cfea8af0b4a0d58d"
"Studies on the film forming behaviour of mercapto-based compounds for corrosion inhibition of AA2024-T3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084245495&partnerID=40&md5=100b3cd7997d5b9f2d86524bb2a634d2"
"The electrodeposition of composite coatings: Diversity, applications and challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080090824&doi=10.1016%2fj.coelec.2020.01.011&partnerID=40&md5=13640cfd74dec401530cccca5815aa77"
"An alternative coating material for gas turbine blade for aerospace applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098500907&doi=10.1088%2f1742-6596%2f1706%2f1%2f012183&partnerID=40&md5=938bdc981302544aa5ceb9c8d3dde076"
